display  D   display_settings.c:506  _al_score_display_settings       [   0.17545] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17546] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17548] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17550] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17552] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17553] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17555] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17557] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17559] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17560] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17562] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17564] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17566] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17567] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17569] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17571] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17573] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17574] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17576] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17578] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17580] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17581] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17583] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17585] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17587] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17588] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17590] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17592] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17594] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17595] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17597] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17599] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17601] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17602] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17604] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17606] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17608] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17609] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17611] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17613] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17615] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17616] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17618] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17620] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17622] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17623] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17625] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17627] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17629] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17630] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17632] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17636] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17638] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17640] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17642] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17643] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17645] Single Buffer requirement not met.
